"Ticker","Nome","Negócios","Última (R$)","Variação"
"BOBR4","Bombril","12.200","1,21","-3,20%"
"BPAC5","Banco BTG Pactual","10.900","11,00","+1,38%"
"CTAX3","CTAX3","10.800","1,13","-4,24%"
"IGTI3","Iguatemi","10.700","3,00","-1,64%"
"IGTI3","Jereissati Participações","10.700","3,00","-1,64%"
"EALT4","Electro Aço Altona","10.500","11,67","+0,60%"
"MGEL4","Mangels","10.500","7,50","+7,14%"
"SCAR3","São Carlos","10.100","20,35","+0,59%"
"CLSC4","Celesc","10.000","106,39","+1,95%"
"INEP4","Inepar","9.600","1,15","+0,00%"
"BEES4","Banestes","9.400","7,84","-0,63%"
"TPIS3","Triunfo","9.300","4,37","-1,13%"
"BEES3","Banestes","9.100","7,91","-0,50%"
"CEBR3","CEB","9.000","24,40","-2,40%"
"AVLL3","Alphaville","9.000","1,41","+0,71%"
"WHRL4","Whirlpool","8.700","4,70","-3,29%"
"CEBR6","CEB","8.400","26,01","-0,12%"
"TECN3","Technos","8.100","6,35","+1,11%"
"CGRA4","Grazziotin","8.000","31,25","+0,84%"
"ALUP4","Alupar","7.800","10,73","-2,37%"
"ALPA3","Alpargatas","7.800","10,68","-2,55%"
"RAPT3","Randon","7.500","5,94","+0,68%"
"BRSR3","Banrisul","7.100","14,33","-0,76%"
"CEEB3","COELBA","6.900","35,51","-1,36%"
"BSLI4","Banco de Brasília","6.700","8,50","-5,56%"
"RNEW3","Renova Energia","6.600","0,98","+0,00%"
"ENGI3","Energisa","6.300","14,16","-2,61%"
"BIED3","BIED3","6.100","3,29","-1,20%"
"BPAC3","Banco BTG Pactual","5.900","28,20","-1,40%"
"OIBR4","Oi","5.700","4,76","+0,63%"
"EPAR3","Embpar Participações","5.700","4,27","+0,47%"
"RSID3","Rossi Residencial","5.700","1,74","-3,87%"
"PINE3","Banco Pine","5.200","9,20","+2,22%"
"EQPA3","Equatorial Energia Pará","5.200","5,74","-0,69%"
"JFEN3","João Fortes","5.200","1,42","+0,71%"
"REAG3","REAG3","5.000","1,64","+2,50%"
"ALUP3","Alupar","4.800","12,05","+0,42%"
"BAZA3","Banco da Amazônia","3.900","78,30","-0,10%"
"EMAE4","EMAE","3.900","38,67","-3,35%"
"CRPG5","Tronox Pigmentos","3.800","21,15","+3,17%"
"HAGA3","Haga","3.800","1,86","-8,37%"
"TELB3","Telebras","3.600","10,36","-5,73%"
"RDNI3","RNI","3.300","2,26","+7,62%"
"WEST3","Westwing","3.200","5,87","-1,34%"
"WLMM4","WLM","2.900","18,24","-0,65%"
"FIEI3","Fica","2.800","16,30","-4,00%"
"NUTR3","Nutriplant","2.600","3,08","+0,98%"
"PTNT3","Pettenati","2.500","8,40","+5,93%"
"VSTE3","LE LIS BLANC","2.500","4,74","-1,66%"
"CTSA4","Santanense","2.500","2,25","+0,90%"
"BSLI3","Banco de Brasília","2.200","8,71","+0,23%"
"REDE3","Rede Energia","2.100","6,33","-0,31%"
"MTSA4","Metisa","2.000","45,50","-3,15%"
"FESA3","Ferbasa","1.900","12,00","+4,53%"
"CEBR5","CEB","1.800","23,80","+0,00%"
"PLAS3","Plascar","1.800","4,99","+3,74%"
"WHRL3","Whirlpool","1.800","4,39","-0,23%"
"ISAE3","ISA Energia","1.500","31,51","+0,83%"
"FHER3","Fertilizantes Heringer","1.500","4,71","-0,84%"
"TELB4","Telebras","1.400","8,30","-2,12%"
"MNDL3","Mundial","1.300","17,60","-3,30%"
"HAGA4","Haga","1.300","1,13","+0,00%"
"MSPA3","Melhoramentos","1.200","46,50","+1,09%"
"GEPA4","Rio Paranapanema Energia","1.200","35,18","+1,24%"
"PATI3","Panatlântica","1.000","36,00","+0,00%"
"GSHP3","General Shopping & Outlets","900","2,90","+1,75%"
"AZEV11","Azevedo & Travassos","900","0,08","+0,00%"
"PPLA11","PPLA","842","0,86","+4,88%"
"OFSA3","Ourofino Saúde Animal","800","22,57","+1,21%"
"BGIP3","Banese","700","34,00","+9,75%"
"TKNO4","Tekno","600","179,98","-0,01%"
"MSPA4","Melhoramentos","600","40,00","-0,30%"
"EKTR4","Elektro","600","39,08","-0,94%"
"BGIP4","Banese","600","29,30","-2,33%"
"MWET4","Wetzel","600","10,00","+0,00%"
"SNSY3","Sansuy","500","11,00","-7,56%"
"CEDO4","Cedro Têxtil","400","11,65","+1,75%"
"CGAS5","Comgás","300","130,94","+2,32%"
"PEAB3","Participações Aliança da Bahia","300","34,55","+0,00%"
"BNBR3","Banco do Nordeste","200","103,00","-1,67%"
"HBTS5","Habitasul","200","32,00","+0,00%"
"EQMA3B","Equatorial Maranhão","200","30,80","+0,39%"
"CPLE5","Copel","200","15,00","+7,14%"
"NEXP3","Brasil Brokers","200","3,42","-0,29%"
"BMKS3","Monark","163","510,01","-0,78%"
"CGAS3","Comgás","100","121,00","+0,83%"
"MOAR3","Monteiro Aranha","100","70,01","+0,00%"
"RSUL4","Metalúrgica Riosulense","100","68,49","+2,24%"
"SOND5","Sondotécnica","100","53,99","+0,00%"
"BMEB3","Banco Mercantil do Brasil","100","46,00","+0,00%"
"PEAB4","Participações Aliança da Bahia","100","35,01","+0,03%"
